gm_gmw_pk,bro_id,delivery_accountable_party,quality_regime,object_registration_time,latest_addition_time,registration_completion_time,latest_correction_time,under_review_time,deregistration_time,number_of_monitoring_tubes,nitg_code,well_code,owner,well_construction_date,well_removal_date,construction_standard,initial_function,well_head_protector,local_vertical_reference_point,ground_level_position,imbro_xml_url,delivered_location,ranking,coordinates
47204,GMW000000056439,50200097,IMBRO/A,2021-10-16T18:46:31+02:00,2021-10-16T18:46:31+02:00,2021-10-16T18:46:31+02:00,,,,1,B49G0425,GMW49G000425,27376655,28/08/1968,14/10/1977,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056439,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>85890.000 375480.000</gml:pos>
</gml:Point>",0.66666,(4.39484218 51.36428412)
47276,GMW000000056511,50200097,IMBRO/A,2021-10-16T18:47:10+02:00,,2021-10-16T18:47:10+02:00,,,,1,B49G0425,GMW49G000425,27376655,29/08/1966,28/08/1968,onbekend,stand,pot,NAP,13.56,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056511,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>85890.000 375480.000</gml:pos>
</gml:Point>",0.8,(4.39484218 51.36428412)
47289,GMW000000056524,50200097,IMBRO/A,2021-10-16T18:47:17+02:00,2021-10-16T18:47:17+02:00,,,,,1,B49G0425,GMW49G000425,27376655,28/10/1982,,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056524,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>85890.000 375480.000</gml:pos>
</gml:Point>",0.8,(4.39484218 51.36428412)
47393,GMW000000056628,50200097,IMBRO/A,2021-10-16T18:48:11+02:00,,2021-10-16T18:48:11+02:00,,,,1,B49G0425,GMW49G000425,27376655,14/10/1977,28/10/1982,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056628,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>85890.000 375480.000</gml:pos>
</gml:Point>",0.73334,(4.39484218 51.36428412)
47142,GMW000000056377,50200097,IMBRO/A,2021-10-16T18:45:54+02:00,,2021-10-16T18:45:54+02:00,,,,1,B49G0427,GMW49G000427,27376655,29/08/1966,14/10/1977,onbekend,stand,pot,NAP,10.76,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056377,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>84980.000 375050.000</gml:pos>
</gml:Point>",0.8,(4.38186245 51.36030751)
47234,GMW000000056469,50200097,IMBRO/A,2021-10-16T18:46:47+02:00,2021-10-16T18:46:47+02:00,,,,,1,B49G0427,GMW49G000427,27376655,14/10/1977,,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056469,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>84980.000 375050.000</gml:pos>
</gml:Point>",0.8,(4.38186245 51.36030751)
47335,GMW000000056570,50200097,IMBRO/A,2021-10-16T18:47:41+02:00,,2021-10-16T18:47:41+02:00,,,,1,B49G0431,GMW49G000431,27376655,29/08/1966,14/10/1977,onbekend,stand,pot,NAP,14.3,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056570,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>86490.000 375580.000</gml:pos>
</gml:Point>",0.8,(4.40343702 51.36525591)
47370,GMW000000056605,50200097,IMBRO/A,2021-10-16T18:47:59+02:00,2021-10-16T18:47:59+02:00,,,,,1,B49G0431,GMW49G000431,27376655,14/10/1977,,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056605,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>86490.000 375580.000</gml:pos>
</gml:Point>",0.8,(4.40343702 51.3652559)
47200,GMW000000056435,50200097,IMBRO/A,2021-10-16T18:46:28+02:00,,,,,,1,B49G0449,GMW49G000449,27376655,01/09/1986,,onbekend,stand,geen,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056435,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>81700.000 381750.000</gml:pos>
</gml:Point>",0.8,(4.33338628 51.4201078)
47408,GMW000000056643,50200097,IMBRO/A,2021-10-16T18:48:19+02:00,,2021-10-16T18:48:19+02:00,,,,1,B49G0449,GMW49G000449,27376655,14/11/1984,01/09/1986,onbekend,stand,geen,NAP,25.06,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056643,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>81700.000 381750.000</gml:pos>
</gml:Point>",0.8,(4.33338628 51.4201078)
