objectid,unicode,x,y,wvp,krw_lichaam,krw_code,grvl150mg,grvl1000mg,filter_zoet_zout,pmg_kwantiteit,krw_kwantiteit,krw_doel,verdroging,project,project_naam,kantonnier,vervanger,logger,evid_terrbeh,evid_terrbeh_txt,vergunning,iwaco,calibratie,lmg_rivm,pmg_kwal_2006,krw_kwal_2006,bestrijd_2006,pmg_kwal_2015,krw_kwal_2015,p2_bestrijd,p3_medisch,p4_industrie,onderhoudsronde,foto,opmerking,getal2,pmg_kwal_2012,krw_kwal_2012,bestrijd_2012,wrsch_verwijderd,em_slimflex_2015,tecontr_aanwezigheidput,veldlabel,pmg_kwal_2017,krw_kwal_2017,perc2bm_2017,perc3en4_2017,bronhouder,nitg_nr,buis_nr,krw_kwantiteit2019,InwinMethLoc
5537,B49D0330-3,75150,383500,WVP2,,,8,-42,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0330,"3",0,9
5538,B49D0331-1,75175,382675,WVP1b,,,28,-22,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0331,"1",0,9
5539,B49D0331-2,75175,382675,WVP1b,,,28,-22,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0331,"2",0,9
5540,B49D0331-3,75175,382675,WVP2,,,28,-22,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0331,"3",0,9
5541,B49D0332-1,75500,383525,WVP1a,,,42,-8,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0332,"1",0,9
5542,B49D0332-2,75500,383525,WVP1b,,,42,-8,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0332,"2",0,9
5543,B49D0332-3,75500,383525,WVP2,,,42,-8,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0332,"3",0,9
5544,B49D0336-1,73229,382879,DKL,,,-77,-127,deels zout,1,0,,0,0,,Jan Slabbekoorn,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0336,"1",0,9
5545,B49D0336-2,73229,382879,WVP1a,,,-77,-127,zout,1,0,,0,0,,Jan Slabbekoorn,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0336,"2",0,9
5546,B49D0336-3,73229,382879,SDL1,,,-77,-127,zout,1,0,,0,0,,Jan Slabbekoorn,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0336,"3",0,9
