time,value,status_quality_control,censor_reason,censor_limit
2025-06-15T07:10:35+0200,0.521,goedgekeurd,,
2025-06-15T08:10:35+0200,0.524,goedgekeurd,,
2025-06-15T09:10:35+0200,0.525,goedgekeurd,,
2025-06-15T10:10:35+0200,0.524,goedgekeurd,,
2025-06-15T11:10:36+0200,0.524,goedgekeurd,,
2025-06-15T12:10:36+0200,0.522,goedgekeurd,,
2025-06-15T13:10:36+0200,0.523,goedgekeurd,,
2025-06-15T14:10:36+0200,0.520,goedgekeurd,,
2025-06-15T15:10:37+0200,0.525,goedgekeurd,,
2025-06-15T16:10:36+0200,0.524,goedgekeurd,,
2025-06-15T17:10:37+0200,0.528,goedgekeurd,,
2025-06-15T18:10:36+0200,0.526,goedgekeurd,,
2025-06-15T19:10:37+0200,0.525,goedgekeurd,,
2025-06-15T20:10:37+0200,0.520,goedgekeurd,,
2025-06-15T21:10:37+0200,0.519,goedgekeurd,,
2025-06-15T22:10:37+0200,0.513,goedgekeurd,,
2025-06-15T23:10:37+0200,0.509,goedgekeurd,,
2025-06-16T00:10:38+0200,0.510,goedgekeurd,,
2025-06-16T01:10:38+0200,0.512,goedgekeurd,,
2025-06-16T02:10:38+0200,0.514,goedgekeurd,,
2025-06-16T03:10:38+0200,0.512,goedgekeurd,,
2025-06-16T04:10:38+0200,0.514,goedgekeurd,,
2025-06-16T05:10:38+0200,0.513,goedgekeurd,,
2025-06-16T06:10:38+0200,0.510,goedgekeurd,,
2025-06-16T07:10:39+0200,0.512,goedgekeurd,,
2025-06-16T08:10:39+0200,0.512,goedgekeurd,,
2025-06-16T09:10:39+0200,0.508,goedgekeurd,,
2025-06-16T10:10:39+0200,0.511,goedgekeurd,,
2025-06-16T11:10:39+0200,0.513,goedgekeurd,,
2025-06-16T12:10:40+0200,0.513,goedgekeurd,,
2025-06-16T13:10:40+0200,0.514,goedgekeurd,,
2025-06-16T14:10:40+0200,0.512,goedgekeurd,,
2025-06-16T15:10:40+0200,0.514,goedgekeurd,,
2025-06-16T16:10:40+0200,0.515,goedgekeurd,,
2025-06-16T17:10:40+0200,0.519,goedgekeurd,,
2025-06-16T18:10:40+0200,0.521,goedgekeurd,,
2025-06-16T19:10:40+0200,0.521,goedgekeurd,,
2025-06-16T20:10:41+0200,0.521,goedgekeurd,,
2025-06-16T21:10:41+0200,0.525,goedgekeurd,,
2025-06-16T22:10:41+0200,0.524,goedgekeurd,,
2025-06-16T23:10:42+0200,0.523,goedgekeurd,,
2025-06-17T00:10:41+0200,0.520,goedgekeurd,,
2025-06-17T01:10:42+0200,0.520,goedgekeurd,,
2025-06-17T02:10:42+0200,0.521,goedgekeurd,,
2025-06-17T03:10:41+0200,0.522,goedgekeurd,,
2025-06-17T04:10:42+0200,0.523,goedgekeurd,,
2025-06-17T05:10:42+0200,0.524,goedgekeurd,,
2025-06-17T06:10:42+0200,0.523,goedgekeurd,,
2025-06-17T07:10:43+0200,0.522,goedgekeurd,,
2025-06-17T08:10:43+0200,0.521,goedgekeurd,,
2025-06-17T09:10:43+0200,0.519,goedgekeurd,,
2025-06-17T10:10:43+0200,0.518,goedgekeurd,,
2025-06-17T11:10:43+0200,0.525,goedgekeurd,,
2025-06-17T12:10:43+0200,0.524,goedgekeurd,,
2025-06-17T13:10:44+0200,0.525,goedgekeurd,,
2025-06-17T14:10:44+0200,0.532,goedgekeurd,,
2025-06-17T15:10:44+0200,0.533,goedgekeurd,,
2025-06-17T16:10:44+0200,0.534,goedgekeurd,,
2025-06-17T17:10:44+0200,0.532,goedgekeurd,,
2025-06-17T18:10:45+0200,0.532,goedgekeurd,,
2025-06-17T19:10:45+0200,0.537,goedgekeurd,,
2025-06-17T20:10:45+0200,0.536,goedgekeurd,,
2025-06-17T21:10:45+0200,0.538,goedgekeurd,,
2025-06-17T22:10:45+0200,0.537,goedgekeurd,,
2025-06-17T23:10:45+0200,0.534,goedgekeurd,,
2025-06-18T00:10:45+0200,0.535,goedgekeurd,,
2025-06-18T01:10:45+0200,0.534,goedgekeurd,,
2025-06-18T02:10:45+0200,0.532,goedgekeurd,,
2025-06-18T03:10:45+0200,0.536,goedgekeurd,,
2025-06-18T04:10:46+0200,0.535,goedgekeurd,,
2025-06-18T05:10:46+0200,0.531,goedgekeurd,,
2025-06-18T06:10:46+0200,0.532,goedgekeurd,,
2025-06-18T07:10:46+0200,0.530,goedgekeurd,,
2025-06-18T08:10:46+0200,0.528,goedgekeurd,,
2025-06-18T09:10:47+0200,0.526,goedgekeurd,,
2025-06-18T10:10:47+0200,0.529,goedgekeurd,,
2025-06-18T11:10:47+0200,0.525,goedgekeurd,,
2025-06-18T12:10:47+0200,0.528,goedgekeurd,,
2025-06-18T13:10:48+0200,0.529,goedgekeurd,,
2025-06-18T14:10:47+0200,0.527,goedgekeurd,,
2025-06-18T15:10:47+0200,0.526,goedgekeurd,,
2025-06-18T16:10:48+0200,0.528,goedgekeurd,,
2025-06-18T17:10:48+0200,0.530,goedgekeurd,,
2025-06-18T18:10:48+0200,0.531,goedgekeurd,,
2025-06-18T19:10:48+0200,0.530,goedgekeurd,,
2025-06-18T20:10:49+0200,0.527,goedgekeurd,,
2025-06-18T21:10:48+0200,0.529,goedgekeurd,,
2025-06-18T22:10:48+0200,0.525,goedgekeurd,,
2025-06-18T23:10:48+0200,0.523,goedgekeurd,,
2025-06-19T00:10:48+0200,0.524,goedgekeurd,,
2025-06-19T01:10:49+0200,0.518,goedgekeurd,,
2025-06-19T02:10:49+0200,0.520,goedgekeurd,,
2025-06-19T03:10:49+0200,0.523,goedgekeurd,,
2025-06-19T04:10:50+0200,0.518,goedgekeurd,,
2025-06-19T05:10:49+0200,0.516,goedgekeurd,,
2025-06-19T06:10:50+0200,0.517,goedgekeurd,,
2025-06-19T07:10:49+0200,0.513,goedgekeurd,,
2025-06-19T08:10:50+0200,0.521,goedgekeurd,,
2025-06-19T09:10:50+0200,0.509,goedgekeurd,,
2025-06-19T10:10:51+0200,0.515,goedgekeurd,,
2025-06-19T11:10:50+0200,0.514,goedgekeurd,,
2025-06-19T12:10:51+0200,0.516,goedgekeurd,,
2025-06-19T13:10:51+0200,0.520,goedgekeurd,,
2025-06-19T14:10:51+0200,0.521,goedgekeurd,,
2025-06-19T15:10:51+0200,0.522,goedgekeurd,,
2025-06-19T16:10:51+0200,0.523,goedgekeurd,,
2025-06-19T17:10:51+0200,0.529,goedgekeurd,,
2025-06-19T18:10:51+0200,0.524,goedgekeurd,,
2025-06-19T19:10:51+0200,0.525,goedgekeurd,,
2025-06-19T20:10:52+0200,0.526,goedgekeurd,,
2025-06-19T21:10:52+0200,0.530,goedgekeurd,,
2025-06-19T22:10:52+0200,0.524,goedgekeurd,,
2025-06-19T23:10:52+0200,0.525,goedgekeurd,,
2025-06-20T00:10:52+0200,0.523,goedgekeurd,,
2025-06-20T01:10:52+0200,0.520,goedgekeurd,,
2025-06-20T02:10:53+0200,0.520,goedgekeurd,,
2025-06-20T03:10:53+0200,0.521,goedgekeurd,,
2025-06-20T04:10:53+0200,0.520,goedgekeurd,,
2025-06-20T05:10:53+0200,0.519,goedgekeurd,,
2025-06-20T06:10:53+0200,0.519,goedgekeurd,,
